9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
"2014-08-06","394","396","388","390","10184200","390"
"2014-08-07","387","392","385","389","10517100","389"
"2014-08-08","385","388","380","380","13408300","380"
"2014-08-11","386","398","383","389","16108000","389"
"2014-08-12","390","394","389","390","4669900","390"
"2014-08-13","388","389","385","387","5396000","387"
"2014-08-14","388","391","385","387","4544700","387"
"2014-08-15","387","388","384","386","5390600","386"
"2014-08-18","388","388","383","385","6484200","385"
"2014-08-19","386","391","385","389","7317600","389"
"2014-08-20","389","390","385","386","3891900","386"
"2014-08-21","386","390","385","387","5160000","387"
"2014-08-22","392","395","386","387","8340600","387"
"2014-08-25","387","389","385","385","3608700","385"
"2014-08-26","385","387","383","384","4037000","384"
"2014-08-27","384","388","382","383","6637900","383"
"2014-08-28","382","384","379","381","5483300","381"
"2014-08-29","380","381","376","376","8399700","376"
"2014-09-01","376","381","376","378","3878100","378"
"2014-09-02","378","383","377","382","7428200","382"
"2014-09-03","385","386","380","382","5311500","382"
"2014-09-04","383","393","381","384","17112400","384"
"2014-09-05","386","387","380","380","6593700","380"
"2014-09-08","381","382","379","381","3196300","381"
"2014-09-09","381","382","378","379","3058500","379"
"2014-09-10","378","387","378","385","13313100","385"
"2014-09-11","389","391","386","389","14027400","389"
"2014-09-12","388","396","388","390","18761400","390"
"2014-09-16","392","393","386","389","6710400","389"
"2014-09-17","388","389","381","381","8643600","381"
"2014-09-18","383","385","382","382","6317500","382"
"2014-09-19","382","385","381","383","4885700","383"
"2014-09-22","384","384","381","382","5978100","382"
"2014-09-24","380","382","379","380","3489100","380"
"2014-09-25","381","383","379","383","3555600","383"
"2014-09-26","380","386","380","384","7985100","384"
"2014-09-29","385","389","382","387","7510100","387"
"2014-09-30","384","386","381","384","5029000","384"
"2014-10-01","385","386","381","381","4151400","381"
"2014-10-02","380","381","371","372","9206600","372"
"2014-10-03","370","376","366","367","7429800","367"
"2014-10-06","371","371","367","367","4022000","367"
"2014-10-07","368","373","367","370","6323100","370"
"2014-10-08","369","369","365","366","5428500","366"
"2014-10-09","366","367","359","360","8250000","360"
"2014-10-10","355","358","353","354","7818300","354"
"2014-10-14","349","349","339","339","10755900","339"
"2014-10-15","341","344","340","342","6531700","342"
"2014-10-16","334","334","318","321","19128600","321"
"2014-10-17","320","329","320","323","14216700","323"
"2014-10-20","330","334","326","333","9130700","333"
"2014-10-21","333","337","326","330","9584300","330"
"2014-10-22","338","343","334","340","9139100","340"
"2014-10-23","339","340","336","337","7493200","337"
"2014-10-24","341","344","337","339","4635700","339"
"2014-10-27","347","410","347","395","148020800","395"
"2014-10-28","387","403","374","386","87345500","386"
"2014-10-29","396","413","387","397","115657200","397"
"2014-10-30","397","402","387","390","41454300","390"
"2014-10-31","395","404","391","397","33596900","397"
"2014-11-04","412","413","402","405","28469200","405"
"2014-11-05","408","445","407","439","187211000","439"
"2014-11-06","438","454","427","430","88967500","430"
"2014-11-07","440","444","433","436","48402500","436"
"2014-11-10","434","446","432","439","38918300","439"
"2014-11-11","442","445","437","439","30047900","439"
"2014-11-12","444","444","434","435","20441700","435"
"2014-11-13","437","443","434","439","25620600","439"
"2014-11-14","441","449","431","442","35392800","442"
"2014-11-17","441","442","432","435","18775100","435"
"2014-11-18","437","443","435","442","21226200","442"
"2014-11-19","442","470","441","464","102502700","464"
"2014-11-20","460","464","445","445","37499800","445"
"2014-11-21","452","454","436","444","34592200","444"
"2014-11-25","441","445","436","439","16363400","439"
"2014-11-26","438","443","438","438","11698400","438"
"2014-11-27","439","441","427","427","16621200","427"
"2014-11-28","428","434","425","434","14203400","434"
"2014-12-01","435","439","433","433","10012800","433"
"2014-12-02","434","438","433","438","6968600","438"
"2014-12-03","440","448","439","442","14491100","442"
"2014-12-04","445","452","441","441","17611400","441"
"2014-12-05","444","447","439","440","12087600","440"
"2014-12-08","442","443","437","439","9212500","439"
"2014-12-09","437","442","436","441","9688400","441"
"2014-12-10","439","447","438","440","18488100","440"
"2014-12-11","437","449","426","445","26614700","445"
"2014-12-12","449","474","445","463","72233100","463"
"2014-12-15","451","470","433","433","55532500","433"
"2014-12-16","430","440","422","426","24090000","426"
"2014-12-17","430","435","426","430","20507800","430"
"2014-12-18","450","466","441","459","98404400","459"
"2014-12-19","466","475","454","459","46639100","459"
"2014-12-22","461","463","453","457","22017700","457"
"2014-12-24","463","472","454","464","56093500","464"
"2014-12-25","461","465","455","459","22846000","459"
"2014-12-26","461","487","459","483","72318400","483"
"2014-12-29","491","515","486","505","121497900","505"
"2014-12-30","503","510","492","492","42815100","492"
