9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
"2019-04-03","682","687","670","678","7891700","678"
"2019-04-04","675","675","658","661","9874500","661"
"2019-04-05","667","670","660","665","6979000","665"
"2019-04-08","665","668","662","667","5549100","667"
"2019-04-09","662","662","646","648","11479700","648"
"2019-04-10","647","655","645","649","7285700","649"
"2019-04-11","645","652","640","646","6978300","646"
"2019-04-12","652","654","642","646","7632600","646"
"2019-04-15","648","651","640","644","7433100","644"
"2019-04-16","643","646","635","637","6844700","637"
"2019-04-17","632","634","621","628","10550600","628"
"2019-04-18","624","628","619","623","7657000","623"
"2019-04-19","620","625","613","619","5900000","619"
"2019-04-22","616","629","613","628","6610800","628"
"2019-04-23","630","640","629","633","7110300","633"
"2019-04-24","639","640","600","607","15941300","607"
"2019-04-25","603","613","601","612","7838400","612"
"2019-04-26","612","628","609","628","11285100","628"
"2019-05-07","621","630","608","612","12350800","612"
"2019-05-08","603","618","600","605","11147500","605"
"2019-05-09","599","599","572","576","13637200","576"
"2019-05-10","579","594","577","585","12625900","585"
"2019-05-13","581","588","571","587","7136500","587"
"2019-05-14","577","588","576","586","7912900","586"
"2019-05-15","584","587","575","585","9313900","585"
"2019-05-16","582","600","582","597","7804300","597"
"2019-05-17","601","602","592","593","7072500","593"
"2019-05-20","595","598","590","596","4503500","596"
"2019-05-21","595","598","583","585","8198000","585"
"2019-05-22","589","598","587","598","7375200","598"
"2019-05-23","597","607","597","604","7746500","604"
"2019-05-24","603","608","598","598","5979900","598"
"2019-05-27","598","607","598","606","3576000","606"
"2019-05-28","606","609","597","601","11195900","601"
"2019-05-29","585","589","575","582","7807000","582"
"2019-05-30","574","580","570","570","6320900","570"
"2019-05-31","565","565","553","558","8947600","558"
"2019-06-03","551","573","550","571","8228100","571"
"2019-06-04","576","586","574","580","6408700","580"
"2019-06-05","585","586","572","578","5668400","578"
"2019-06-06","585","585","575","577","4230200","577"
"2019-06-07","576","578","566","575","5046900","575"
"2019-06-10","578","586","577","584","4802200","584"
"2019-06-11","589","589","584","587","5699900","587"
"2019-06-12","590","595","585","587","5990000","587"
"2019-06-13","581","588","575","578","7684100","578"
"2019-06-14","579","580","571","572","5444800","572"
"2019-06-17","569","576","568","569","4029200","569"
"2019-06-18","563","564","536","536","9825700","536"
"2019-06-19","546","558","543","552","6887600","552"
"2019-06-20","554","568","552","566","7019500","566"
"2019-06-21","570","579","565","577","12703900","577"
"2019-06-24","571","574","564","567","4988000","567"
"2019-06-25","565","569","558","562","5228000","562"
"2019-06-26","556","556","549","552","5285300","552"
"2019-06-27","550","559","546","559","6129400","559"
"2019-06-28","557","566","554","562","6147000","562"
"2019-07-01","569","570","562","567","3798000","567"
"2019-07-02","567","572","559","562","5232800","562"
"2019-07-03","565","567","556","559","5143600","559"
"2019-07-04","564","567","561","566","3360200","566"
"2019-07-05","568","570","559","559","5820100","559"
"2019-07-08","557","558","543","544","9860100","544"
"2019-07-09","545","551","540","545","11022200","545"
"2019-07-10","545","547","540","545","6168000","545"
"2019-07-11","543","556","543","553","6596500","553"
"2019-07-12","550","551","546","550","3571600","550"
"2019-07-16","546","547","536","540","5901300","540"
"2019-07-17","535","541","529","532","6921700","532"
"2019-07-18","532","533","512","515","11160700","515"
"2019-07-19","516","528","515","527","9155700","527"
"2019-07-22","524","527","513","514","7491600","514"
"2019-07-23","511","519","505","513","7669000","513"
"2019-07-24","510","511","504","506","6704200","506"
"2019-07-25","505","513","503","511","7529300","511"
"2019-07-26","507","514","506","509","7323500","509"
"2019-07-29","511","518","509","512","4813700","512"
"2019-07-30","513","519","511","516","4893000","516"
"2019-07-31","514","531","513","525","8626600","525"
"2019-08-01","520","520","508","514","8326300","514"
"2019-08-02","507","513","505","513","6300500","513"
"2019-08-05","508","510","497","506","9014100","506"
"2019-08-06","495","508","493","507","7603900","507"
"2019-08-07","509","517","507","515","7232000","515"
"2019-08-08","515","517","503","511","7043900","511"
"2019-08-09","510","518","510","515","4816900","515"
"2019-08-13","515","519","508","517","6705600","517"
"2019-08-14","519","519","510","513","5580700","513"
"2019-08-15","505","512","504","511","3874700","511"
"2019-08-16","510","513","507","512","3814700","512"
"2019-08-19","513","517","509","512","3820900","512"
"2019-08-20","511","511","495","497","8499500","497"
"2019-08-21","497","497","478","488","10286500","488"
"2019-08-22","492","493","483","490","6538200","490"
"2019-08-23","485","489","482","484","5976800","484"
"2019-08-26","472","489","471","487","7268700","487"
"2019-08-27","486","498","486","493","7446800","493"
"2019-08-28","493","507","493","505","6644000","505"
"2019-08-29","510","511","501","502","5206300","502"
"2019-08-30","506","507","497","506","6412900","506"
"2019-09-02","502","506","501","505","2708500","505"
"2019-09-03","507","516","506","513","5307800","513"
"2019-09-04","517","518","509","515","5760000","515"
"2019-09-05","511","520","508","519","6895400","519"
"2019-09-06","517","518","508","508","5221900","508"
"2019-09-09","505","509","502","507","3944300","507"
"2019-09-10","508","511","506","511","5325700","511"
"2019-09-11","516","538","516","536","13447900","536"
"2019-09-12","542","553","536","543","12568100","543"
"2019-09-13","544","553","541","553","9635300","553"
"2019-09-17","545","552","541","550","9248800","550"
"2019-09-18","555","557","539","546","6902100","546"
"2019-09-19","549","561","548","551","11436400","551"
"2019-09-20","559","559","552","556","9657600","556"
"2019-09-24","559","563","550","551","8227600","551"
"2019-09-25","555","566","553","561","8549700","561"
"2019-09-26","563","563","551","553","8780700","553"
"2019-09-27","552","553","541","549","8781700","549"
"2019-09-30","540","540","525","529","10289900","529"
"2019-10-01","536","545","533","534","5932400","534"
"2019-10-02","529","541","529","537","5513900","537"
"2019-10-03","528","528","522","527","5453000","527"
"2019-10-04","525","534","523","534","5759900","534"
"2019-10-07","534","540","530","535","4154900","535"
"2019-10-08","538","542","536","538","5666300","538"
"2019-10-09","534","540","533","538","4743200","538"
"2019-10-10","537","543","534","540","4688400","540"
"2019-10-11","540","542","534","534","6005700","534"
"2019-10-15","537","542","536","540","6024400","540"
"2019-10-16","545","555","536","541","13260000","541"
"2019-10-17","542","542","530","532","7396700","532"
"2019-10-18","534","537","528","531","5775500","531"
"2019-10-21","534","539","533","538","4520200","538"
"2019-10-23","538","542","529","529","7025200","529"
"2019-10-24","533","534","528","529","4620600","529"
"2019-10-25","526","529","524","529","4037400","529"
"2019-10-28","528","528","524","526","3794000","526"
"2019-10-29","529","529","512","515","8794300","515"
"2019-10-30","515","519","509","510","8136000","510"
"2019-10-31","508","509","501","502","8642400","502"
"2019-11-01","502","511","500","505","6945200","505"
"2019-11-05","509","513","505","512","6832100","512"
"2019-11-06","512","516","511","516","5419000","516"
"2019-11-07","515","515","507","508","5812300","508"
"2019-11-08","510","510","503","507","5788100","507"
"2019-11-11","509","514","508","510","5162500","510"
"2019-11-12","507","507","502","503","6040900","503"
"2019-11-13","502","502","491","491","9566900","491"
"2019-11-14","492","497","482","484","9620000","484"
"2019-11-15","486","495","485","493","6615500","493"
"2019-11-18","494","494","484","489","9048200","489"
"2019-11-19","489","491","484","488","6071600","488"
"2019-11-20","486","488","479","479","6862600","479"
"2019-11-21","476","478","469","478","8948000","478"
"2019-11-22","475","478","467","468","8372500","468"
"2019-11-25","472","476","471","473","5270000","473"
"2019-11-26","477","480","473","474","8370000","474"
"2019-11-27","474","486","474","485","6916300","485"
"2019-11-28","487","489","480","482","5982300","482"
"2019-11-29","482","487","479","480","4885500","480"
"2019-12-02","480","487","479","483","5306700","483"
"2019-12-03","476","478","468","474","10952200","474"
"2019-12-04","479","490","470","489","16912500","489"
"2019-12-05","490","491","482","487","11131200","487"
"2019-12-06","487","498","486","488","8979000","488"
"2019-12-09","485","491","482","490","7411500","490"
"2019-12-10","490","490","477","478","7804100","478"
"2019-12-11","478","482","476","480","5610900","480"
"2019-12-12","480","481","476","476","5726800","476"
"2019-12-13","484","488","482","488","10694600","488"
"2019-12-16","490","491","483","484","4876400","484"
"2019-12-17","486","487","478","484","6324100","484"
"2019-12-18","484","487","480","486","5710200","486"
"2019-12-19","482","484","480","480","5143900","480"
"2019-12-20","482","482","474","476","8664300","476"
"2019-12-23","475","476","472","474","5128600","474"
"2019-12-24","472","473","469","471","4676600","471"
"2019-12-25","470","470","466","466","3122600","466"
"2019-12-26","464","470","462","467","5658800","467"
"2019-12-27","471","474","467","472","5061000","472"
"2019-12-30","469","470","466","467","4650800","467"
