6758 東証1部 ソニー(株)（電気機器）,,,,,
"2014-11-13","2368","2377","2343.5","2350","9787200","2350"
"2014-11-14","2385","2401.5","2362.5","2401.5","10788700","2401.5"
"2014-11-17","2405","2409","2325","2329","11380500","2329"
"2014-11-18","2405","2485","2394","2478.5","17708200","2478.5"
"2014-11-19","2500","2515","2422","2441.5","14775100","2441.5"
"2014-11-20","2455","2458","2400","2410.5","6806800","2410.5"
"2014-11-21","2430","2456.5","2373.5","2433.5","9956800","2433.5"
"2014-11-25","2535","2583.5","2517","2582.5","24743000","2582.5"
"2014-11-26","2545","2569.5","2527.5","2548.5","12295100","2548.5"
"2014-11-27","2516.5","2527.5","2498","2500","7654700","2500"
"2014-11-28","2510","2600","2507.5","2600","11446500","2600"
"2014-12-01","2625","2683","2590","2640","13417700","2640"
"2014-12-02","2600","2629","2572.5","2623.5","8312900","2623.5"
"2014-12-03","2641","2651","2581","2596","8901100","2596"
"2014-12-04","2630","2656.5","2598","2643","9360300","2643"
"2014-12-05","2647","2696.5","2646.5","2677","8002400","2677"
"2014-12-08","2685.5","2688","2586.5","2590","10648700","2590"
"2014-12-09","2550","2555","2473","2486","14057700","2486"
"2014-12-10","2483","2516.5","2455.5","2504","10850900","2504"
"2014-12-11","2430","2490","2390","2464","11840600","2464"
"2014-12-12","2450","2475","2416","2440.5","13215700","2440.5"
"2014-12-15","2410","2416","2347","2353","10431200","2353"
"2014-12-16","2326","2374","2315.5","2331","9223500","2331"
"2014-12-17","2321","2377","2315","2365","10057400","2365"
"2014-12-18","2415","2489","2397","2478.5","14321200","2478.5"
"2014-12-19","2513","2522","2400","2446.5","15989800","2446.5"
"2014-12-22","2449","2479.5","2443","2470","5434200","2470"
"2014-12-24","2528","2571.5","2514","2568.5","10911600","2568.5"
"2014-12-25","2560","2566","2543.5","2557","3973600","2557"
"2014-12-26","2562","2579","2530","2550.5","4028700","2550.5"
"2014-12-29","2560","2567","2521","2561","6145100","2561"
"2014-12-30","2545","2549","2472.5","2472.5","6286000","2472.5"
