,9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2013-04-04,312,315,282,293,162792800,293
2013-04-05,299,328,292,296,185440700,296
2013-04-08,295,305,290,298,71854200,298
2013-04-09,303,304,278,285,58040900,285
2013-04-10,275,317,275,312,155470200,312
2013-04-11,319,355,318,353,205648900,353
2013-04-12,361,412,358,409,515716500,409
2013-04-15,416,476,401,461,728934100,461
2013-04-16,449,474,441,461,379724200,461
2013-04-17,483,491,434,441,392801300,441
2013-04-18,433,437,405,406,216410200,406
2013-04-19,402,458,402,457,304313300,457
2013-04-22,477,481,444,458,215104100,458
2013-04-23,456,467,440,450,163611400,450
2013-04-24,466,469,444,450,109177300,450
2013-04-25,444,449,430,432,70450300,432
2013-04-26,428,429,403,408,106514800,408
2013-04-30,404,447,398,430,186086900,430
2013-05-01,435,437,413,417,117439900,417
2013-05-02,416,445,415,438,180181400,438
2013-05-07,448,463,447,461,135977800,461
2013-05-08,462,463,451,455,70075800,455
2013-05-09,455,456,440,444,37088600,444
2013-05-10,450,453,441,447,35429500,447
2013-05-13,451,463,436,442,89462000,442
2013-05-14,446,522,443,522,352213400,522
2013-05-15,517,612,504,513,699968100,513
2013-05-16,533,613,526,613,618650500,613
2013-05-17,633,656,607,626,505085200,626
2013-05-20,656,726,646,726,443322400,726
2013-05-21,810,841,770,815,549781900,815
2013-05-22,770,794,730,737,293562700,737
2013-05-23,710,775,615,639,374059400,639
2013-05-24,689,723,643,702,439592500,702
2013-05-27,671,703,651,651,246788700,651
2013-05-28,666,688,581,612,406826300,612
2013-05-29,635,698,595,665,426337100,665
2013-05-30,636,650,600,621,288344500,621
2013-05-31,639,662,617,617,253736600,617
2013-06-03,602,623,586,598,189300200,598
2013-06-04,590,625,582,613,148783500,613
2013-06-05,623,624,513,513,233103300,513
2013-06-06,477,506,451,475,430786400,475
2013-06-07,499,534,485,515,324742800,515
2013-06-10,534,589,526,565,324329800,565
2013-06-11,555,560,523,534,169504300,534
2013-06-12,525,578,522,572,223317700,572
2013-06-13,574,580,530,535,198759000,535
2013-06-14,555,562,536,539,110363400,539
2013-06-17,540,562,536,547,108445500,547
2013-06-18,550,553,533,538,75567600,538
2013-06-19,546,555,491,517,201807100,517
2013-06-20,508,536,495,517,125806200,517
2013-06-21,500,530,498,527,100738400,527
2013-06-24,538,564,535,538,132564300,538
2013-06-25,537,545,516,524,107012100,524
2013-06-26,532,535,502,510,78780800,510
2013-06-27,513,524,491,511,87339600,511
2013-06-28,519,524,505,513,57753700,513
2013-07-01,515,524,507,523,63125200,523
2013-07-02,540,623,536,623,319391300,623
2013-07-03,605,610,557,559,331100600,559
2013-07-04,569,618,564,584,341199600,584
2013-07-05,602,614,588,602,196275900,602
2013-07-08,612,694,605,628,518501500,628
2013-07-09,638,674,633,668,382180700,668
2013-07-10,678,679,650,662,227712000,662
2013-07-11,642,684,641,670,187762000,670
2013-07-12,677,699,673,682,193289400,682
2013-07-16,693,778,693,768,500654800,768
2013-07-17,779,782,710,739,302373300,739
2013-07-18,751,756,724,735,152553700,735
2013-07-19,733,749,660,726,315955300,726
2013-07-22,738,739,686,703,179333300,703
2013-07-23,673,684,636,656,179285000,656
2013-07-24,629,654,613,644,212021900,644
2013-07-25,644,659,630,636,143529800,636
2013-07-26,627,645,625,630,85164800,630
2013-07-29,619,620,559,568,123539300,568
2013-07-30,578,639,577,635,178939600,635
2013-07-31,615,618,592,599,116758700,599
2013-08-01,624,653,611,647,168940400,647
2013-08-02,657,661,633,647,115348000,647
2013-08-05,634,655,633,644,69647500,644
2013-08-06,649,669,637,665,116792500,665
2013-08-07,660,696,652,656,235167700,656
2013-08-08,646,671,600,623,170080100,623
2013-08-09,633,643,607,627,135501100,627
2013-08-12,627,630,612,623,62338300,623
2013-08-13,628,634,620,626,52196500,626
2013-08-14,632,658,630,650,133757800,650
2013-08-15,642,654,637,645,58712900,645
2013-08-16,640,654,637,645,67146900,645
2013-08-19,646,649,615,622,81373600,622
2013-08-20,616,633,612,614,109356000,614
2013-08-21,605,606,523,557,232960800,557
2013-08-22,536,552,522,534,183716100,534
2013-08-23,546,557,496,508,243197900,508
2013-08-26,496,502,455,473,194785900,473
2013-08-27,505,543,502,531,290094600,531
2013-08-28,515,527,502,510,125406400,510
2013-08-29,520,521,472,497,183352100,497
2013-08-30,509,527,489,500,231292600,500
2013-09-02,486,511,461,508,232814800,508
2013-09-03,530,547,512,525,236119400,525
2013-09-04,515,521,493,510,179300000,510
2013-09-05,514,521,507,511,109743100,511
2013-09-06,506,507,496,499,107931700,499
2013-09-09,537,538,515,518,120573000,518
2013-09-10,515,516,500,512,82543900,512
2013-09-11,508,525,505,514,70277200,514
2013-09-12,508,516,505,511,53263900,511
2013-09-13,511,521,510,518,75203200,518
2013-09-17,517,518,510,512,37515400,512
2013-09-18,513,523,511,517,32313000,517
2013-09-19,518,542,515,526,116451500,526
2013-09-20,525,526,508,514,67689000,514
2013-09-24,512,522,510,521,28972600,521
2013-09-25,526,560,521,523,201443300,523
2013-09-26,529,563,525,560,134501200,560
2013-09-27,610,624,586,597,190185200,597
2013-09-30,590,630,581,611,170940200,611
2013-10-01,608,621,584,586,97183400,586
2013-10-02,594,608,568,580,107397900,580
2013-10-03,571,577,550,552,57127100,552
2013-10-04,550,555,523,528,74486200,528
2013-10-07,519,519,481,488,117790200,488
2013-10-08,500,528,491,525,131814200,525
2013-10-09,520,527,511,521,52327800,521
2013-10-10,521,523,512,514,28290700,514
2013-10-11,524,525,516,519,25765200,519
2013-10-15,518,534,516,531,41203800,531
2013-10-16,528,542,526,532,36755100,532
2013-10-17,538,542,528,530,21152300,530
2013-10-18,532,537,518,522,25672200,522
2013-10-21,520,521,509,515,19742900,515
2013-10-22,516,523,515,520,17022400,520
2013-10-23,521,534,518,523,37706900,523
2013-10-24,525,530,520,530,15447700,530
2013-10-25,529,529,517,518,15503800,518
2013-10-28,517,519,508,514,17834600,514
2013-10-29,520,545,515,532,79428400,532
2013-10-30,531,551,523,525,61161000,525
2013-10-31,529,532,521,523,17663000,523
2013-11-01,530,549,527,535,59362900,535
2013-11-05,545,547,511,520,65189100,520
2013-11-06,520,534,515,533,44884000,533
2013-11-07,530,531,521,526,17812100,526
2013-11-08,520,526,514,520,26082600,520
2013-11-11,524,525,510,517,31798800,517
2013-11-12,510,529,506,529,45162200,529
2013-11-13,526,538,522,533,44496300,533
2013-11-14,533,554,533,548,59229600,548
2013-11-15,558,563,552,556,45591600,556
2013-11-18,566,572,555,557,34957600,557
2013-11-19,555,557,543,548,23234300,548
2013-11-20,548,553,544,546,16831000,546
2013-11-21,542,545,533,537,21008000,537
2013-11-22,532,540,528,531,26671500,531
2013-11-25,534,541,531,537,19032500,537
2013-11-26,533,536,528,530,16327300,530
2013-11-27,531,550,529,542,38174900,542
2013-11-28,544,550,539,546,25485700,546
2013-11-29,543,547,541,546,12463400,546
2013-12-02,549,554,545,549,19674200,549
2013-12-03,548,550,542,542,12278300,542
2013-12-04,540,542,536,537,10334800,537
2013-12-05,534,542,534,536,10836400,536
2013-12-06,537,543,536,538,17907000,538
2013-12-09,541,545,536,538,10807300,538
2013-12-10,538,540,535,536,9524400,536
2013-12-11,533,534,526,531,13849100,531
2013-12-12,526,529,523,523,9883300,523
2013-12-13,521,525,516,519,18660200,519
2013-12-16,545,546,519,524,50683300,524
2013-12-17,526,535,523,535,23272300,535
2013-12-18,538,539,531,535,15083900,535
2013-12-19,536,537,530,533,15519900,533
2013-12-20,531,532,521,522,21084100,522
2013-12-24,521,522,507,510,42746100,510
2013-12-25,504,509,464,501,81708900,501
2013-12-26,513,521,506,517,32934700,517
2013-12-27,516,524,510,516,25206500,516
2013-12-30,517,522,516,517,11351900,517
2014-01-06,513,517,513,516,16167700,516
2014-01-07,513,516,510,511,10716400,511
2014-01-08,513,516,512,516,8922900,516
2014-01-09,514,517,510,512,10193700,512
2014-01-10,508,513,505,509,12084100,509
2014-01-14,504,506,489,491,35947500,491
2014-01-15,497,510,483,497,50904900,497
2014-01-16,510,519,496,500,60733100,500
2014-01-17,493,496,485,492,21013900,492
2014-01-20,492,494,488,490,10273700,490
2014-01-21,490,497,488,488,10783100,488
2014-01-22,490,494,486,493,13937300,493
2014-01-23,491,493,488,488,9765500,488
2014-01-24,485,490,483,484,16061600,484
2014-01-27,472,477,467,470,16625300,470
2014-01-28,469,474,451,451,21227100,451
2014-01-29,462,482,460,479,28655400,479
2014-01-30,470,472,462,465,13602200,465
2014-01-31,468,472,459,470,13791000,470
2014-02-03,470,470,451,454,16332500,454
2014-02-04,434,437,421,424,30095400,424
2014-02-05,430,435,414,423,18722100,423
2014-02-06,420,451,420,440,30012100,440
2014-02-07,444,491,444,489,57947300,489
2014-02-10,494,498,466,479,94759800,479
2014-02-12,479,493,472,485,67762500,485
2014-02-13,480,486,467,469,35951600,469
2014-02-14,469,475,454,458,24953100,458
2014-02-17,455,470,453,468,17567200,468
2014-02-18,470,479,458,475,26509000,475
2014-02-19,470,477,463,466,31666200,466
2014-02-20,461,466,453,455,17746200,455
2014-02-21,458,466,457,463,17178200,463
2014-02-24,467,472,462,470,14502600,470
2014-02-25,472,480,468,475,15503900,475
2014-02-26,472,482,470,479,24781300,479
2014-02-27,477,478,471,471,9860500,471
2014-02-28,471,475,469,474,10223600,474
2014-03-03,467,468,455,464,15293300,464
2014-03-04,459,471,458,467,18748700,467
2014-03-05,471,472,458,460,18788100,460
2014-03-06,460,467,459,466,9477200,466
2014-03-07,467,468,460,463,10780000,463
2014-03-10,460,464,457,461,11261500,461
2014-03-11,460,461,453,454,15338200,454
2014-03-12,450,455,439,439,20141200,439
2014-03-13,439,447,428,428,23165300,428
2014-03-14,420,421,409,411,35689300,411
2014-03-17,407,420,404,411,20121100,411
2014-03-18,415,420,412,413,10733300,413
2014-03-19,412,413,402,403,13529700,403
2014-03-20,400,400,373,376,43039500,376
2014-03-24,360,396,355,388,46931100,388
2014-03-25,380,392,376,385,17127800,385
2014-03-26,386,393,382,388,12920400,388
2014-03-27,384,402,382,400,15036700,400
2014-03-28,397,409,396,407,13686600,407
2014-03-31,413,418,407,416,14136700,416
2014-04-01,414,416,401,405,13935400,405
2014-04-02,404,412,404,405,9158100,405
2014-04-03,406,409,403,404,7240400,404
2014-04-04,406,408,403,407,7045700,407
2014-04-07,405,406,396,400,8246100,400
2014-04-08,396,397,384,390,10443900,390
2014-04-09,386,389,380,381,11799000,381
2014-04-10,386,391,380,382,9962400,382
2014-04-11,377,391,374,385,12951300,385
2014-04-14,386,391,384,385,7254900,385
2014-04-15,388,389,373,375,12047100,375
2014-04-16,376,388,375,388,11490900,388
2014-04-17,392,396,387,388,10624200,388
2014-04-18,390,391,384,389,5136500,389
2014-04-21,389,403,388,396,11990800,396
2014-04-22,403,417,400,405,29844400,405
2014-04-23,404,409,397,399,11878400,399
2014-04-24,402,403,394,397,5867300,397
2014-04-25,395,402,394,396,4933800,396
2014-04-28,394,395,385,387,7344000,387
2014-04-30,389,392,383,386,7966700,386
2014-05-01,391,404,389,401,19527600,401
2014-05-02,401,403,394,396,11360800,396
2014-05-07,391,392,384,386,9591000,386
2014-05-08,387,394,386,392,8755100,392
2014-05-09,390,395,389,392,8275400,392
2014-05-12,392,394,389,389,6407300,389
2014-05-13,393,394,391,393,4624700,393
2014-05-14,390,393,389,393,5542200,393
2014-05-15,390,394,390,392,4788900,392
2014-05-16,387,389,386,387,5626700,387
2014-05-19,386,387,377,378,7443800,378
2014-05-20,376,385,376,383,8978000,383
2014-05-21,380,384,379,379,5870500,379
2014-05-22,382,383,374,377,9786000,377
2014-05-23,379,388,379,384,7059100,384
2014-05-26,390,393,388,393,6805100,393
2014-05-27,393,398,392,392,6773800,392
2014-05-28,394,397,391,392,7060200,392
2014-05-29,391,395,390,392,5914900,392
2014-05-30,394,445,391,413,52058400,413
2014-06-02,410,424,410,417,28270000,417
2014-06-03,421,447,419,444,65737400,444
2014-06-04,439,443,433,435,28441100,435
2014-06-05,435,445,429,431,21154900,431
2014-06-06,436,436,426,430,16431900,430
2014-06-09,433,437,429,432,9485500,432
2014-06-10,432,433,422,424,9724300,424
2014-06-11,422,432,422,427,10581500,427
2014-06-12,424,427,422,425,6661200,425
2014-06-13,420,427,420,425,8956600,425
2014-06-16,423,425,410,412,12219500,412
2014-06-17,415,419,412,415,6036200,415
2014-06-18,416,418,412,415,4096800,415
2014-06-19,415,421,414,419,11849800,419
2014-06-20,423,435,418,425,24817400,425
2014-06-23,429,430,422,422,11835500,422
2014-06-24,420,428,419,422,12169200,422
2014-06-25,420,428,419,419,10526000,419
2014-06-26,422,424,420,421,10484000,421
2014-06-27,420,433,419,424,23486300,424
2014-06-30,424,429,421,422,10734700,422
2014-07-01,424,427,422,424,10537700,424
2014-07-02,429,433,423,425,14379200,425
2014-07-03,428,439,424,434,28426900,434
2014-07-04,435,436,430,430,10511100,430
2014-07-07,430,443,430,432,18181300,432
2014-07-08,433,434,423,425,11257100,425
2014-07-09,422,424,417,418,10597000,418
2014-07-10,419,421,410,410,9108100,410
2014-07-11,404,408,401,407,10366700,407
2014-07-14,408,413,408,411,5729900,411
2014-07-15,411,415,407,410,7582400,410
2014-07-16,410,415,409,411,7618000,411
2014-07-17,414,415,408,408,5643800,408
2014-07-18,404,409,401,404,6715900,404
2014-07-22,406,410,406,408,4467500,408
2014-07-23,409,410,407,409,5777000,409
2014-07-24,408,413,408,409,8719400,409
2014-07-25,409,411,407,409,5848600,409
2014-07-28,408,410,407,409,4320100,409
2014-07-29,409,411,407,407,4067500,407
2014-07-30,407,412,405,411,9915600,411
2014-07-31,410,410,405,405,7453200,405
2014-08-01,403,404,396,400,11236300,400
2014-08-04,398,404,396,398,8041600,398
2014-08-05,399,402,395,396,6874000,396
2014-08-06,394,396,388,390,10184200,390
2014-08-07,387,392,385,389,10517100,389
2014-08-08,385,388,380,380,13408300,380
2014-08-11,386,398,383,389,16108000,389
2014-08-12,390,394,389,390,4669900,390
2014-08-13,388,389,385,387,5396000,387
2014-08-14,388,391,385,387,4544700,387
2014-08-15,387,388,384,386,5390600,386
2014-08-18,388,388,383,385,6484200,385
2014-08-19,386,391,385,389,7317600,389
2014-08-20,389,390,385,386,3891900,386
2014-08-21,386,390,385,387,5160000,387
2014-08-22,392,395,386,387,8340600,387
2014-08-25,387,389,385,385,3608700,385
2014-08-26,385,387,383,384,4037000,384
2014-08-27,384,388,382,383,6637900,383
2014-08-28,382,384,379,381,5483300,381
2014-08-29,380,381,376,376,8399700,376
2014-09-01,376,381,376,378,3878100,378
2014-09-02,378,383,377,382,7428200,382
2014-09-03,385,386,380,382,5311500,382
2014-09-04,383,393,381,384,17112400,384
2014-09-05,386,387,380,380,6593700,380
2014-09-08,381,382,379,381,3196300,381
2014-09-09,381,382,378,379,3058500,379
2014-09-10,378,387,378,385,13313100,385
2014-09-11,389,391,386,389,14027400,389
2014-09-12,388,396,388,390,18761400,390
2014-09-16,392,393,386,389,6710400,389
2014-09-17,388,389,381,381,8643600,381
2014-09-18,383,385,382,382,6317500,382
2014-09-19,382,385,381,383,4885700,383
2014-09-22,384,384,381,382,5978100,382
2014-09-24,380,382,379,380,3489100,380
2014-09-25,381,383,379,383,3555600,383
2014-09-26,380,386,380,384,7985100,384
2014-09-29,385,389,382,387,7510100,387
2014-09-30,384,386,381,384,5029000,384
2014-10-01,385,386,381,381,4151400,381
2014-10-02,380,381,371,372,9206600,372
2014-10-03,370,376,366,367,7429800,367
2014-10-06,371,371,367,367,4022000,367
2014-10-07,368,373,367,370,6323100,370
2014-10-08,369,369,365,366,5428500,366
2014-10-09,366,367,359,360,8250000,360
2014-10-10,355,358,353,354,7818300,354
2014-10-14,349,349,339,339,10755900,339
2014-10-15,341,344,340,342,6531700,342
2014-10-16,334,334,318,321,19128600,321
2014-10-17,320,329,320,323,14216700,323
2014-10-20,330,334,326,333,9130700,333
2014-10-21,333,337,326,330,9584300,330
2014-10-22,338,343,334,340,9139100,340
2014-10-23,339,340,336,337,7493200,337
2014-10-24,341,344,337,339,4635700,339
2014-10-27,347,410,347,395,148020800,395
2014-10-28,387,403,374,386,87345500,386
2014-10-29,396,413,387,397,115657200,397
2014-10-30,397,402,387,390,41454300,390
2014-10-31,395,404,391,397,33596900,397
2014-11-04,412,413,402,405,28469200,405
2014-11-05,408,445,407,439,187211000,439
2014-11-06,438,454,427,430,88967500,430
2014-11-07,440,444,433,436,48402500,436
2014-11-10,434,446,432,439,38918300,439
2014-11-11,442,445,437,439,30047900,439
2014-11-12,444,444,434,435,20441700,435
2014-11-13,437,443,434,439,25620600,439
2014-11-14,441,449,431,442,35392800,442
2014-11-17,441,442,432,435,18775100,435
2014-11-18,437,443,435,442,21226200,442
2014-11-19,442,470,441,464,102502700,464
2014-11-20,460,464,445,445,37499800,445
2014-11-21,452,454,436,444,34592200,444
2014-11-25,441,445,436,439,16363400,439
2014-11-26,438,443,438,438,11698400,438
2014-11-27,439,441,427,427,16621200,427
2014-11-28,428,434,425,434,14203400,434
2014-12-01,435,439,433,433,10012800,433
2014-12-02,434,438,433,438,6968600,438
2014-12-03,440,448,439,442,14491100,442
2014-12-04,445,452,441,441,17611400,441
2014-12-05,444,447,439,440,12087600,440
2014-12-08,442,443,437,439,9212500,439
2014-12-09,437,442,436,441,9688400,441
2014-12-10,439,447,438,440,18488100,440
2014-12-11,437,449,426,445,26614700,445
2014-12-12,449,474,445,463,72233100,463
2014-12-15,451,470,433,433,55532500,433
2014-12-16,430,440,422,426,24090000,426
2014-12-17,430,435,426,430,20507800,430
2014-12-18,450,466,441,459,98404400,459
2014-12-19,466,475,454,459,46639100,459
2014-12-22,461,463,453,457,22017700,457
2014-12-24,463,472,454,464,56093500,464
2014-12-25,461,465,455,459,22846000,459
2014-12-26,461,487,459,483,72318400,483
2014-12-29,491,515,486,505,121497900,505
2014-12-30,503,510,492,492,42815100,492
2015-01-05,499,510,494,505,46978000,505
2015-01-06,498,518,498,501,70630400,501
2015-01-07,507,513,486,488,63192700,488
2015-01-08,495,501,481,492,42181000,492
2015-01-09,496,498,485,489,23524200,489
2015-01-13,485,485,468,484,31741000,484
2015-01-14,480,485,473,474,20032400,474
2015-01-15,474,484,470,480,19285700,480
2015-01-16,474,479,460,472,29619800,472
2015-01-19,472,475,467,470,11444800,470
2015-01-20,471,480,471,478,13574900,478
2015-01-21,481,483,470,475,16041500,475
2015-01-22,478,483,473,475,14211600,475
2015-01-23,480,481,473,476,8942700,476
2015-01-26,471,475,467,473,9249100,473
2015-01-27,477,498,476,495,50308100,495
2015-01-28,491,508,486,505,55317100,505
2015-01-29,499,508,492,494,28264900,494
2015-01-30,502,513,498,502,60011300,502
2015-02-02,489,493,480,482,40353100,482
2015-02-03,486,487,475,475,18560400,475
2015-02-04,479,482,473,476,12694400,476
2015-02-05,477,479,469,470,17598500,470
2015-02-06,473,475,469,471,10519000,471
2015-02-09,472,475,470,475,10234900,475
2015-02-10,478,483,475,482,14351800,482
2015-02-12,486,488,482,486,17470500,486
2015-02-13,486,487,481,482,12668800,482
2015-02-16,483,485,479,481,8501600,481
2015-02-17,480,481,477,481,8933300,481
2015-02-18,480,481,473,475,16367800,475
2015-02-19,474,482,474,479,12098700,479
2015-02-20,481,482,478,479,6597200,479
2015-02-23,480,481,474,476,7654800,476
2015-02-24,478,480,476,480,5639000,480
2015-02-25,477,479,476,477,7837600,477
2015-02-26,475,476,471,474,12796200,474
2015-02-27,473,475,468,469,11488800,469
2015-03-02,468,470,466,468,6608900,468
2015-03-03,467,469,457,464,14787400,464
2015-03-04,464,467,458,466,10525500,466
2015-03-05,465,473,464,469,11415400,469
2015-03-06,469,473,468,471,8069600,471
2015-03-09,467,468,461,464,8839700,464
2015-03-10,464,466,461,463,7423600,463
2015-03-11,459,467,458,464,7531800,464
2015-03-12,465,468,462,464,9492500,464
2015-03-13,470,471,461,462,13535700,462
2015-03-16,462,463,453,454,13040200,454
2015-03-17,454,456,448,450,14451500,450
2015-03-18,450,451,445,447,11049200,447
2015-03-19,444,453,442,452,13638700,452
2015-03-20,455,466,450,461,20454500,461
2015-03-23,460,462,455,456,12065200,456
2015-03-24,455,462,451,461,11257300,461
2015-03-25,461,465,453,458,10730300,458
2015-03-26,456,457,450,453,8157700,453
2015-03-27,451,458,450,453,11100600,453
2015-03-30,450,461,450,458,12555500,458
2015-03-31,460,463,455,455,11139700,455
2015-04-01,455,458,452,453,9728700,453
2015-04-02,452,460,452,457,9488500,457
2015-04-03,457,458,452,455,6139100,455
2015-04-06,453,459,451,457,6453700,457
2015-04-07,459,464,455,458,9781500,458
2015-04-08,460,465,457,465,10660600,465
2015-04-09,466,483,462,481,32596500,481
2015-04-10,480,480,465,466,22050300,466
2015-04-13,466,467,457,458,10151400,458
2015-04-14,456,464,456,464,9762400,464
2015-04-15,459,483,459,479,29516100,479
2015-04-16,479,484,474,483,16306100,483
2015-04-17,483,483,477,478,10307400,478
2015-04-20,477,480,473,475,7822500,475
2015-04-21,475,485,474,483,19955700,483
2015-04-22,485,488,481,484,18859200,484
2015-04-23,485,486,483,485,8292600,485
2015-04-24,484,491,482,488,17639100,488
2015-04-27,492,495,489,489,13186800,489
2015-04-28,490,494,484,489,13770300,489
2015-04-30,488,491,485,490,12146900,490
2015-05-01,491,491,479,485,11014900,485
2015-05-07,485,506,484,504,46874800,504
2015-05-08,503,514,499,512,45962000,512
2015-05-11,515,521,507,512,27463900,512
2015-05-12,514,519,508,518,15773300,518
2015-05-13,518,528,516,526,32457700,526
2015-05-14,526,528,513,517,16102100,517
2015-05-15,519,522,511,514,10068300,514
2015-05-18,512,520,511,520,11011600,520
2015-05-19,520,527,517,519,15625900,519
2015-05-20,523,549,522,549,40002400,549
2015-05-21,554,630,550,586,288587600,586
2015-05-22,594,598,572,585,83354300,585
2015-05-25,600,627,598,624,147399800,624
2015-05-26,620,645,610,645,150241700,645
2015-05-27,635,670,635,666,192443100,666
2015-05-28,676,730,676,707,298318600,707
2015-05-29,714,714,692,709,131461300,709
2015-06-01,698,747,697,736,160792300,736
2015-06-02,748,772,718,743,336347500,743
2015-06-03,734,754,725,746,185802900,746
2015-06-04,755,760,707,710,197819600,710
2015-06-05,695,715,683,713,209051600,713
2015-06-08,718,720,685,693,119672600,693
2015-06-09,678,693,668,668,114924100,668
2015-06-10,673,684,669,676,112352200,676
2015-06-11,683,691,674,678,81321600,678
2015-06-12,680,680,668,670,54886200,670
2015-06-15,660,670,654,660,58351500,660
2015-06-16,658,691,657,688,92093400,688
2015-06-17,693,697,666,668,94246700,668
2015-06-18,669,685,668,678,70689200,678
2015-06-19,681,685,666,670,70684200,670
2015-06-22,670,678,662,676,50286500,676
2015-06-23,680,702,675,696,82671500,696
2015-06-24,692,704,686,696,56815300,696
2015-06-25,695,709,694,698,91920700,698
2015-06-26,700,701,681,683,34552600,683
2015-06-29,660,674,658,664,49575700,664
2015-06-30,668,671,664,667,29559200,667
2015-07-01,670,673,659,662,24809400,662
2015-07-02,669,670,661,662,16646700,662
2015-07-03,661,668,657,667,24107500,667
2015-07-06,659,665,649,655,24079700,655
2015-07-07,660,704,658,700,58512200,700
2015-07-08,705,708,674,679,58110200,679
2015-07-09,667,701,653,700,77111300,700
2015-07-10,697,699,680,682,42979700,682
2015-07-13,690,705,684,701,49504800,701
2015-07-14,713,737,709,715,108193600,715
2015-07-15,724,725,710,716,59518700,716
2015-07-16,719,745,714,743,81392400,743
2015-07-17,740,744,732,740,60553300,740
2015-07-21,747,774,743,768,107087900,768
2015-07-22,761,798,759,787,167153000,787
2015-07-23,796,807,774,785,92328900,785
2015-07-24,791,797,779,786,51193100,786
2015-07-27,781,784,760,765,44424800,765
2015-07-28,753,806,748,801,104006800,801
2015-07-29,806,814,791,798,78144800,798
2015-07-30,817,848,807,838,168789300,838
2015-07-31,839,890,836,890,163758900,890
2015-08-03,879,939,867,874,292343000,874
2015-08-04,875,922,856,918,202584900,918
2015-08-05,927,930,893,898,172077500,898
2015-08-06,906,922,867,872,181383300,872
2015-08-07,878,889,855,885,144844800,885
2015-08-10,860,861,803,830,200430000,830
2015-08-11,836,849,813,834,133041400,834
2015-08-12,835,855,829,853,83306000,853
2015-08-13,854,898,852,893,128151700,893
2015-08-14,889,915,870,883,146274500,883
2015-08-17,895,904,886,900,70282400,900
2015-08-18,910,912,886,891,87524600,891
2015-08-19,886,908,882,888,84984200,888
2015-08-20,893,898,871,873,53871900,873
2015-08-21,852,865,837,842,66702500,842
2015-08-24,827,832,763,775,113489700,775
2015-08-25,746,841,711,771,181670300,771
2015-08-26,816,840,794,838,84494900,838
2015-08-27,851,864,818,831,79211700,831
2015-08-28,846,853,828,842,55943300,842
2015-08-31,839,850,828,830,49568200,830
2015-09-01,818,820,781,781,71681700,781
2015-09-02,761,808,760,788,77598400,788
2015-09-03,802,815,777,780,55497300,780
2015-09-04,790,795,761,780,52516100,780
2015-09-07,769,791,753,775,57846400,775
2015-09-08,780,781,751,751,35728200,751
