9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
"2017-03-06","432","433","429","431","5192100","431"
"2017-03-07","431","433","428","429","6270900","429"
"2017-03-08","428","432","427","430","7328800","430"
"2017-03-09","430","430","424","428","8631800","428"
"2017-03-10","431","432","427","428","10977100","428"
"2017-03-13","431","437","430","436","8137500","436"
"2017-03-14","436","437","433","435","3957500","435"
"2017-03-15","434","434","427","428","6380400","428"
"2017-03-16","428","430","425","426","7059100","426"
"2017-03-17","424","425","418","420","15484600","420"
"2017-03-21","419","423","416","417","9201600","417"
"2017-03-22","418","421","413","414","13429400","414"
"2017-03-23","416","420","414","417","9049600","417"
"2017-03-24","416","426","415","425","9812200","425"
"2017-03-27","423","424","415","417","9684400","417"
"2017-03-28","419","431","419","424","21374300","424"
"2017-03-29","431","454","430","442","53135500","442"
"2017-03-30","440","450","436","440","21978300","440"
"2017-03-31","444","446","436","436","18043000","436"
"2017-04-03","438","441","434","438","11043400","438"
"2017-04-04","438","439","430","433","11227400","433"
"2017-04-05","434","438","431","437","8407500","437"
"2017-04-06","436","437","425","428","11738600","428"
"2017-04-07","430","431","423","424","13262000","424"
"2017-04-10","427","428","419","422","8462500","422"
"2017-04-11","418","420","415","419","8144300","419"
"2017-04-12","415","417","411","412","10451500","412"
"2017-04-13","410","415","408","415","12975500","415"
"2017-04-14","407","411","401","405","12907000","405"
"2017-04-17","400","414","400","414","12332000","414"
"2017-04-18","419","419","415","418","8509500","418"
"2017-04-19","419","423","416","423","11501700","423"
"2017-04-20","427","433","420","422","14905700","422"
"2017-04-21","429","433","424","431","11727800","431"
"2017-04-24","435","437","433","434","11774300","434"
"2017-04-25","437","443","434","441","12590900","441"
"2017-04-26","444","445","440","443","10677400","443"
"2017-04-27","436","439","431","433","10357800","433"
"2017-04-28","430","436","429","433","6283800","433"
"2017-05-01","432","437","430","436","7094100","436"
"2017-05-02","438","446","437","441","14043500","441"
"2017-05-08","448","454","446","450","19617100","450"
"2017-05-09","452","468","450","462","32917500","462"
"2017-05-10","462","465","457","460","20379500","460"
"2017-05-11","457","466","454","464","19694500","464"
"2017-05-12","470","489","469","474","42567600","474"
"2017-05-15","467","471","458","464","14770200","464"
"2017-05-16","470","470","459","463","8666700","463"
"2017-05-17","461","465","458","465","7158400","465"
"2017-05-18","457","462","457","459","7068200","459"
"2017-05-19","460","460","451","459","9196200","459"
"2017-05-22","464","469","461","466","11781100","466"
"2017-05-23","465","465","457","459","8405000","459"
"2017-05-24","462","463","459","461","6215800","461"
"2017-05-25","459","468","457","467","9972100","467"
"2017-05-26","471","472","462","463","8270200","463"
"2017-05-29","462","463","459","462","4878600","462"
"2017-05-30","459","461","457","458","7929200","458"
"2017-05-31","456","456","450","454","10732900","454"
"2017-06-01","455","463","454","460","8101700","460"
"2017-06-02","464","468","460","466","9479800","466"
"2017-06-05","461","463","456","459","8765500","459"
"2017-06-06","460","460","455","456","7122700","456"
"2017-06-07","453","460","452","458","6739500","458"
"2017-06-08","460","463","453","453","9347800","453"
"2017-06-09","450","455","450","454","8371700","454"
"2017-06-12","452","458","451","455","5767800","455"
"2017-06-13","453","460","452","457","8313000","457"
"2017-06-14","458","461","457","459","7153400","459"
"2017-06-15","457","459","452","456","9351000","456"
"2017-06-16","457","461","455","459","8768300","459"
"2017-06-19","460","468","460","464","12574000","464"
"2017-06-20","469","471","466","466","10501700","466"
"2017-06-21","463","464","458","460","8169400","460"
"2017-06-22","461","461","457","457","6198600","457"
"2017-06-23","458","462","457","461","5211100","461"
"2017-06-26","461","463","460","462","3245000","462"
"2017-06-27","464","464","458","459","7036300","459"
"2017-06-28","458","466","458","462","6874600","462"
"2017-06-29","464","466","461","463","7705100","463"
"2017-06-30","462","463","458","463","8688700","463"
"2017-07-03","465","466","460","464","5507000","464"
"2017-07-04","463","465","459","460","5678400","460"
"2017-07-05","459","462","457","461","7350600","461"
"2017-07-06","461","464","459","461","4319700","461"
"2017-07-07","460","464","459","460","5465900","460"
"2017-07-10","459","463","458","460","5461200","460"
"2017-07-11","459","462","458","461","4836900","461"
"2017-07-12","462","473","461","471","19563900","471"
"2017-07-13","472","473","461","462","10887500","462"
"2017-07-14","463","467","463","464","5345000","464"
"2017-07-18","465","467","459","461","6151200","461"
"2017-07-19","460","463","458","462","3976600","462"
"2017-07-20","463","464","459","463","4750500","463"
"2017-07-21","464","464","460","461","3210400","461"
"2017-07-24","460","461","458","460","4093900","460"
"2017-07-25","459","460","457","458","4316300","458"
"2017-07-26","458","459","457","458","3230300","458"
"2017-07-27","458","465","458","460","6363900","460"
"2017-07-28","460","464","460","464","3328400","464"
"2017-07-31","462","470","460","468","10382600","468"
"2017-08-01","466","477","465","471","14879300","471"
"2017-08-02","475","480","474","478","10181700","478"
"2017-08-03","483","488","480","480","13701800","480"
"2017-08-04","477","479","475","475","4469000","475"
"2017-08-07","479","484","474","474","7889600","474"
"2017-08-08","475","475","466","467","6861500","467"
"2017-08-09","464","466","458","462","10051900","462"
"2017-08-10","460","461","456","456","5018700","456"
"2017-08-14","451","454","445","453","9146200","453"
"2017-08-15","457","459","452","452","5389200","452"
"2017-08-16","453","455","451","453","5282100","453"
"2017-08-17","452","454","450","452","4684300","452"
"2017-08-18","447","449","445","447","6781000","447"
"2017-08-21","448","454","448","449","5029500","449"
"2017-08-22","451","456","450","453","4998100","453"
"2017-08-23","455","456","448","449","4685800","449"
"2017-08-24","447","449","445","445","5117400","445"
"2017-08-25","443","445","440","441","6483100","441"
"2017-08-28","443","445","436","441","5418600","441"
"2017-08-29","437","441","437","441","4090600","441"
"2017-08-30","443","444","438","441","4393500","441"
"2017-08-31","443","448","443","445","5996400","445"
"2017-09-01","448","451","444","450","6247300","450"
"2017-09-04","455","457","442","444","7258100","444"
"2017-09-05","442","443","437","438","5993100","438"
"2017-09-06","433","436","431","435","5415800","435"
"2017-09-07","441","450","441","447","10518900","447"
"2017-09-08","449","459","447","448","15867400","448"
"2017-09-11","458","462","456","458","9160500","458"
"2017-09-12","464","465","454","457","7664000","457"
"2017-09-13","458","463","455","461","6303700","461"
"2017-09-14","461","467","460","460","8676100","460"
"2017-09-15","457","460","451","451","9304100","451"
"2017-09-19","457","459","455","458","7177500","458"
"2017-09-20","456","457","454","456","5006900","456"
"2017-09-21","459","466","459","461","11273800","461"
"2017-09-22","462","464","459","464","6255600","464"
"2017-09-25","466","467","462","465","6660800","465"
"2017-09-26","463","472","463","468","7557900","468"
"2017-09-27","470","474","464","465","7449400","465"
"2017-09-28","468","468","448","456","15473500","456"
"2017-09-29","457","457","451","454","6425400","454"
"2017-10-02","456","456","452","453","5439500","453"
"2017-10-03","455","462","454","461","9885500","461"
"2017-10-04","463","475","459","461","18918900","461"
"2017-10-05","465","474","464","465","14379200","465"
"2017-10-06","468","470","462","464","6557100","464"
"2017-10-10","462","464","456","460","9207400","460"
"2017-10-11","458","458","453","456","7432500","456"
"2017-10-12","457","468","456","466","10369900","466"
"2017-10-13","463","467","462","465","8583800","465"
"2017-10-16","468","472","466","468","9321300","468"
"2017-10-17","470","471","465","468","6962700","468"
"2017-10-18","466","467","464","467","5112600","467"
"2017-10-19","469","470","464","467","5125500","467"
"2017-10-20","467","468","464","466","6829200","466"
"2017-10-23","470","470","464","466","6115800","466"
"2017-10-24","466","471","465","470","10814700","470"
"2017-10-25","471","471","465","466","8256100","466"
"2017-10-26","466","467","463","466","4271100","466"
"2017-10-27","465","468","462","467","7058700","467"
"2017-10-30","463","466","462","465","10973300","465"
"2017-10-31","463","464","460","464","6140900","464"
"2017-11-01","462","470","462","467","8058000","467"
"2017-11-02","468","470","462","468","8719800","468"
"2017-11-06","468","472","467","469","9179600","469"
"2017-11-07","469","474","464","473","11866500","473"
"2017-11-08","470","474","468","474","8586500","474"
"2017-11-09","472","486","465","469","24208700","469"
"2017-11-10","465","467","458","459","13129900","459"
"2017-11-13","460","461","451","451","8766400","451"
"2017-11-15","449","451","440","442","13157600","442"
"2017-11-16","444","446","441","441","9304900","441"
"2017-11-17","446","446","436","438","11164100","438"
"2017-11-20","437","437","434","436","6460900","436"
"2017-11-21","439","439","435","436","7807200","436"
"2017-11-22","438","440","433","439","10199600","439"
"2017-11-24","438","442","435","439","6855300","439"
"2017-11-27","438","440","435","437","6730200","437"
"2017-11-28","439","443","437","440","6462700","440"
"2017-11-29","440","446","439","445","6269100","445"
"2017-11-30","444","453","442","450","11154500","450"
"2017-12-01","453","454","445","448","7369800","448"
"2017-12-04","452","453","446","447","6644500","447"
"2017-12-05","447","458","446","454","8010200","454"
"2017-12-06","452","456","449","451","9982000","451"
"2017-12-07","451","454","449","453","8330400","453"
"2017-12-08","451","455","450","455","11806600","455"
"2017-12-11","455","457","453","455","7209200","455"
"2017-12-12","455","460","454","457","9075700","457"
"2017-12-13","457","460","454","457","12414700","457"
"2017-12-14","455","457","452","452","10252800","452"
"2017-12-15","450","450","442","445","12753600","445"
"2017-12-18","447","448","445","447","5148300","447"
"2017-12-19","448","452","446","450","8504600","450"
"2017-12-20","447","449","446","446","5317600","446"
"2017-12-21","444","446","442","446","6743800","446"
"2017-12-22","446","447","443","444","7075300","444"
"2017-12-25","443","444","439","441","6986400","441"
"2017-12-26","441","442","437","439","5550400","439"
"2017-12-27","439","445","438","443","4444300","443"
"2017-12-28","443","445","443","445","3736800","445"
"2017-12-29","445","449","445","446","7395700","446"
