9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
"2013-03-22","220","222","211","211","21628700","211"
"2013-03-25","213","218","210","217","16817200","217"
"2013-03-26","215","223","215","220","31777200","220"
"2013-03-27","220","238","219","227","80422500","227"
"2013-03-28","228","237","226","232","48827200","232"
"2013-03-29","232","256","232","255","144234000","255"
"2013-04-01","253","287","249","266","306928800","266"
"2013-04-02","267","274","250","252","115811400","252"
"2013-04-03","256","316","252","313","356266400","313"
"2013-04-04","312","315","282","293","162792800","293"
"2013-04-05","299","328","292","296","185440700","296"
"2013-04-08","295","305","290","298","71854200","298"
"2013-04-09","303","304","278","285","58040900","285"
"2013-04-10","275","317","275","312","155470200","312"
"2013-04-11","319","355","318","353","205648900","353"
"2013-04-12","361","412","358","409","515716500","409"
"2013-04-15","416","476","401","461","728934100","461"
"2013-04-16","449","474","441","461","379724200","461"
"2013-04-17","483","491","434","441","392801300","441"
"2013-04-18","433","437","405","406","216410200","406"
"2013-04-19","402","458","402","457","304313300","457"
"2013-04-22","477","481","444","458","215104100","458"
"2013-04-23","456","467","440","450","163611400","450"
"2013-04-24","466","469","444","450","109177300","450"
"2013-04-25","444","449","430","432","70450300","432"
"2013-04-26","428","429","403","408","106514800","408"
"2013-04-30","404","447","398","430","186086900","430"
"2013-05-01","435","437","413","417","117439900","417"
"2013-05-02","416","445","415","438","180181400","438"
"2013-05-07","448","463","447","461","135977800","461"
"2013-05-08","462","463","451","455","70075800","455"
"2013-05-09","455","456","440","444","37088600","444"
"2013-05-10","450","453","441","447","35429500","447"
"2013-05-13","451","463","436","442","89462000","442"
"2013-05-14","446","522","443","522","352213400","522"
"2013-05-15","517","612","504","513","699968100","513"
"2013-05-16","533","613","526","613","618650500","613"
"2013-05-17","633","656","607","626","505085200","626"
"2013-05-20","656","726","646","726","443322400","726"
"2013-05-21","810","841","770","815","549781900","815"
"2013-05-22","770","794","730","737","293562700","737"
"2013-05-23","710","775","615","639","374059400","639"
"2013-05-24","689","723","643","702","439592500","702"
"2013-05-27","671","703","651","651","246788700","651"
"2013-05-28","666","688","581","612","406826300","612"
"2013-05-29","635","698","595","665","426337100","665"
"2013-05-30","636","650","600","621","288344500","621"
"2013-05-31","639","662","617","617","253736600","617"
"2013-06-03","602","623","586","598","189300200","598"
"2013-06-04","590","625","582","613","148783500","613"
"2013-06-05","623","624","513","513","233103300","513"
"2013-06-06","477","506","451","475","430786400","475"
"2013-06-07","499","534","485","515","324742800","515"
"2013-06-10","534","589","526","565","324329800","565"
"2013-06-11","555","560","523","534","169504300","534"
"2013-06-12","525","578","522","572","223317700","572"
"2013-06-13","574","580","530","535","198759000","535"
"2013-06-14","555","562","536","539","110363400","539"
"2013-06-17","540","562","536","547","108445500","547"
"2013-06-18","550","553","533","538","75567600","538"
"2013-06-19","546","555","491","517","201807100","517"
"2013-06-20","508","536","495","517","125806200","517"
"2013-06-21","500","530","498","527","100738400","527"
"2013-06-24","538","564","535","538","132564300","538"
"2013-06-25","537","545","516","524","107012100","524"
"2013-06-26","532","535","502","510","78780800","510"
"2013-06-27","513","524","491","511","87339600","511"
"2013-06-28","519","524","505","513","57753700","513"
"2013-07-01","515","524","507","523","63125200","523"
"2013-07-02","540","623","536","623","319391300","623"
"2013-07-03","605","610","557","559","331100600","559"
"2013-07-04","569","618","564","584","341199600","584"
"2013-07-05","602","614","588","602","196275900","602"
"2013-07-08","612","694","605","628","518501500","628"
"2013-07-09","638","674","633","668","382180700","668"
"2013-07-10","678","679","650","662","227712000","662"
"2013-07-11","642","684","641","670","187762000","670"
"2013-07-12","677","699","673","682","193289400","682"
"2013-07-16","693","778","693","768","500654800","768"
"2013-07-17","779","782","710","739","302373300","739"
"2013-07-18","751","756","724","735","152553700","735"
"2013-07-19","733","749","660","726","315955300","726"
"2013-07-22","738","739","686","703","179333300","703"
"2013-07-23","673","684","636","656","179285000","656"
"2013-07-24","629","654","613","644","212021900","644"
"2013-07-25","644","659","630","636","143529800","636"
"2013-07-26","627","645","625","630","85164800","630"
"2013-07-29","619","620","559","568","123539300","568"
"2013-07-30","578","639","577","635","178939600","635"
"2013-07-31","615","618","592","599","116758700","599"
"2013-08-01","624","653","611","647","168940400","647"
"2013-08-02","657","661","633","647","115348000","647"
"2013-08-05","634","655","633","644","69647500","644"
"2013-08-06","649","669","637","665","116792500","665"
"2013-08-07","660","696","652","656","235167700","656"
"2013-08-08","646","671","600","623","170080100","623"
"2013-08-09","633","643","607","627","135501100","627"
"2013-08-12","627","630","612","623","62338300","623"
"2013-08-13","628","634","620","626","52196500","626"
"2013-08-14","632","658","630","650","133757800","650"
"2013-08-15","642","654","637","645","58712900","645"
"2013-08-16","640","654","637","645","67146900","645"
"2013-08-19","646","649","615","622","81373600","622"
"2013-08-20","616","633","612","614","109356000","614"
"2013-08-21","605","606","523","557","232960800","557"
"2013-08-22","536","552","522","534","183716100","534"
"2013-08-23","546","557","496","508","243197900","508"
"2013-08-26","496","502","455","473","194785900","473"
"2013-08-27","505","543","502","531","290094600","531"
"2013-08-28","515","527","502","510","125406400","510"
"2013-08-29","520","521","472","497","183352100","497"
"2013-08-30","509","527","489","500","231292600","500"
"2013-09-02","486","511","461","508","232814800","508"
"2013-09-03","530","547","512","525","236119400","525"
"2013-09-04","515","521","493","510","179300000","510"
"2013-09-05","514","521","507","511","109743100","511"
"2013-09-06","506","507","496","499","107931700","499"
"2013-09-09","537","538","515","518","120573000","518"
"2013-09-10","515","516","500","512","82543900","512"
"2013-09-11","508","525","505","514","70277200","514"
"2013-09-12","508","516","505","511","53263900","511"
"2013-09-13","511","521","510","518","75203200","518"
"2013-09-17","517","518","510","512","37515400","512"
"2013-09-18","513","523","511","517","32313000","517"
"2013-09-19","518","542","515","526","116451500","526"
"2013-09-20","525","526","508","514","67689000","514"
"2013-09-24","512","522","510","521","28972600","521"
"2013-09-25","526","560","521","523","201443300","523"
"2013-09-26","529","563","525","560","134501200","560"
"2013-09-27","610","624","586","597","190185200","597"
"2013-09-30","590","630","581","611","170940200","611"
"2013-10-01","608","621","584","586","97183400","586"
"2013-10-02","594","608","568","580","107397900","580"
"2013-10-03","571","577","550","552","57127100","552"
"2013-10-04","550","555","523","528","74486200","528"
"2013-10-07","519","519","481","488","117790200","488"
"2013-10-08","500","528","491","525","131814200","525"
"2013-10-09","520","527","511","521","52327800","521"
"2013-10-10","521","523","512","514","28290700","514"
"2013-10-11","524","525","516","519","25765200","519"
"2013-10-15","518","534","516","531","41203800","531"
"2013-10-16","528","542","526","532","36755100","532"
"2013-10-17","538","542","528","530","21152300","530"
"2013-10-18","532","537","518","522","25672200","522"
"2013-10-21","520","521","509","515","19742900","515"
"2013-10-22","516","523","515","520","17022400","520"
"2013-10-23","521","534","518","523","37706900","523"
"2013-10-24","525","530","520","530","15447700","530"
"2013-10-25","529","529","517","518","15503800","518"
"2013-10-28","517","519","508","514","17834600","514"
"2013-10-29","520","545","515","532","79428400","532"
"2013-10-30","531","551","523","525","61161000","525"
"2013-10-31","529","532","521","523","17663000","523"
"2013-11-01","530","549","527","535","59362900","535"
"2013-11-05","545","547","511","520","65189100","520"
"2013-11-06","520","534","515","533","44884000","533"
"2013-11-07","530","531","521","526","17812100","526"
"2013-11-08","520","526","514","520","26082600","520"
"2013-11-11","524","525","510","517","31798800","517"
"2013-11-12","510","529","506","529","45162200","529"
"2013-11-13","526","538","522","533","44496300","533"
"2013-11-14","533","554","533","548","59229600","548"
"2013-11-15","558","563","552","556","45591600","556"
"2013-11-18","566","572","555","557","34957600","557"
"2013-11-19","555","557","543","548","23234300","548"
"2013-11-20","548","553","544","546","16831000","546"
"2013-11-21","542","545","533","537","21008000","537"
"2013-11-22","532","540","528","531","26671500","531"
"2013-11-25","534","541","531","537","19032500","537"
"2013-11-26","533","536","528","530","16327300","530"
"2013-11-27","531","550","529","542","38174900","542"
"2013-11-28","544","550","539","546","25485700","546"
"2013-11-29","543","547","541","546","12463400","546"
"2013-12-02","549","554","545","549","19674200","549"
"2013-12-03","548","550","542","542","12278300","542"
"2013-12-04","540","542","536","537","10334800","537"
"2013-12-05","534","542","534","536","10836400","536"
"2013-12-06","537","543","536","538","17907000","538"
"2013-12-09","541","545","536","538","10807300","538"
"2013-12-10","538","540","535","536","9524400","536"
"2013-12-11","533","534","526","531","13849100","531"
"2013-12-12","526","529","523","523","9883300","523"
"2013-12-13","521","525","516","519","18660200","519"
"2013-12-16","545","546","519","524","50683300","524"
"2013-12-17","526","535","523","535","23272300","535"
"2013-12-18","538","539","531","535","15083900","535"
"2013-12-19","536","537","530","533","15519900","533"
"2013-12-20","531","532","521","522","21084100","522"
"2013-12-24","521","522","507","510","42746100","510"
"2013-12-25","504","509","464","501","81708900","501"
"2013-12-26","513","521","506","517","32934700","517"
"2013-12-27","516","524","510","516","25206500","516"
"2013-12-30","517","522","516","517","11351900","517"
