9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
"2016-09-29","439","470","437","453","56922100","453"
"2016-09-30","443","445","434","435","20015400","435"
"2016-10-03","436","440","425","427","12048100","427"
"2016-10-04","426","432","424","428","10284800","428"
"2016-10-05","430","431","394","414","64635500","414"
"2016-10-06","416","420","411","416","18928900","416"
"2016-10-07","415","418","412","416","10543400","416"
"2016-10-11","416","425","414","419","8171200","419"
"2016-10-12","415","420","409","411","16740000","411"
"2016-10-13","409","417","405","409","16604900","409"
"2016-10-17","394","395","382","385","60971700","385"
"2016-10-19","391","398","391","395","23133700","395"
"2016-10-20","399","405","398","403","13015700","403"
"2016-10-21","408","410","405","406","11318200","406"
"2016-10-24","408","410","401","403","7825000","403"
"2016-10-25","405","409","405","406","8822300","406"
"2016-10-26","407","412","404","410","11001100","410"
"2016-10-27","411","413","409","411","8041900","411"
"2016-10-28","415","417","412","413","8818000","413"
"2016-10-31","409","412","405","408","8572400","408"
"2016-11-01","405","430","405","424","25846200","424"
"2016-11-02","420","430","418","425","30091300","425"
"2016-11-04","420","424","413","415","15034600","415"
"2016-11-07","417","419","408","410","10998100","410"
"2016-11-08","413","414","406","407","7846200","407"
"2016-11-09","408","412","385","391","26335400","391"
"2016-11-10","409","410","403","407","12046700","407"
"2016-11-11","409","410","401","403","10076000","403"
"2016-11-14","405","408","403","405","7864100","405"
"2016-11-15","407","412","404","406","13273300","406"
"2016-11-16","408","415","405","415","13596300","415"
"2016-11-17","416","425","415","425","16376500","425"
"2016-11-18","428","429","422","424","13163700","424"
"2016-11-21","429","436","427","427","18060300","427"
"2016-11-22","423","424","416","421","17772000","421"
"2016-11-24","422","424","418","422","7913800","422"
"2016-11-25","420","428","419","427","12297600","427"
"2016-11-28","423","432","421","431","14535300","431"
"2016-11-29","431","433","427","429","8805400","429"
"2016-11-30","432","435","425","425","15519100","425"
"2016-12-01","428","429","423","424","9122800","424"
"2016-12-02","423","426","418","420","10476700","420"
"2016-12-05","419","420","414","417","8440400","417"
"2016-12-06","420","429","416","428","17975400","428"
"2016-12-07","433","457","430","457","40141400","457"
"2016-12-08","473","537","472","537","110148400","537"
"2016-12-09","551","566","512","521","134585300","521"
"2016-12-12","524","536","504","513","49933500","513"
"2016-12-13","512","539","508","533","58780300","533"
"2016-12-14","532","558","526","539","98878000","539"
"2016-12-15","537","552","518","527","55395600","527"
"2016-12-16","537","543","527","537","39104900","537"
"2016-12-19","539","544","529","536","19451300","536"
"2016-12-20","532","534","513","516","27718000","516"
"2016-12-21","517","521","507","510","21338500","510"
"2016-12-22","509","509","494","500","17603700","500"
"2016-12-26","498","506","490","492","18341000","492"
"2016-12-27","495","502","493","497","13133600","497"
"2016-12-28","495","499","492","495","10250900","495"
"2016-12-29","491","493","474","480","19555400","480"
"2016-12-30","474","479","471","472","14087700","472"
